Year,Month,Day,AZN.L,BBY.L,UU.L,VOD.L,LRE.L,JD.L,GSK.L,PRU.L,BATS.L,BT-A.L,^FTSE,GBPUSD=X
2010,8,12,2035.381348,189.87709,352.438568,69.379456,194.385666,6.311592,673.160706,323.655792,1245.140259,89.832779,5266.100098,1.563282
2010,8,13,2035.072998,186.094101,351.253937,69.950012,195.321045,6.342124,689.201355,323.070953,1256.57373,89.89772,5275.399902,1.558774
2010,8,16,2042.175781,186.530594,349.773102,70.109764,195.695282,6.49915,685.54303,324.532928,1261.0354,89.118248,5276.100098,1.560306
2010,8,17,2048.969727,187.912872,349.773102,70.109764,195.508148,6.551494,684.980042,341.19812,1271.911133,90.287453,5350.600098,1.564602
2010,8,18,2027.044189,189.513351,349.180725,69.950012,194.946899,6.878631,684.698547,348.300537,1263.534912,90.287453,5302.899902,1.557802
2010,8,19,2007.589233,185.293854,339.111053,69.151253,194.946899,6.47298,670.064636,337.925629,1232.97229,87.949074,5211.299805,1.559892
2010,8,20,2005.735718,181.583618,333.780121,68.626305,194.011459,6.416276,679.070313,330.514984,1225.897705,86.779892,5195.299805,1.557705
2010,8,23,2035.072998,180.419632,335.853241,69.082779,194.946899,6.717242,690.890076,338.518463,1232.406128,88.014038,5234.799805,1.554509
2010,8,24,1997.089478,170.671158,334.372467,68.398087,195.321045,6.791394,675.411682,332.293488,1245.989624,87.819176,5156,1.549619
2010,8,25,1994.928101,171.034866,334.964691,68.192696,196.630737,7.048744,678.507324,324.290009,1234.387085,86.130341,5109.399902,1.541093
2010,8,26,1986.589844,171.034866,333.483948,68.21553,195.695282,6.717242,681.040283,327.84726,1253.064331,84.83123,5155.799805,1.547221
2010,8,27,2001.721802,174.090393,337.630249,70.109764,198.688751,6.882993,689.764404,335.257813,1258.724243,87.169617,5201.600098,1.552
2010,8,31,1993.692261,174.381393,337.926422,71.730125,199.62413,6.874271,687.231567,335.554169,1254.196411,86.520065,5225.200195,1.546599
2010,9,1,2028.896606,177.946136,344.738129,72.118111,200.843918,6.865546,708.619568,343.854187,1296.644409,88.793488,5366.399902,1.53499
2010,9,2,2025.808594,178.455383,347.996033,71.798592,200.843918,6.865546,710.02655,346.225555,1301.738403,88.40377,5371,1.544807
2010,9,3,2044.64624,179.110092,346.219086,72.574562,202.914444,6.778309,713.96637,348.004089,1307.963745,89.37809,5428.200195,1.539598
2010,9,7,2062.557617,177.72789,352.142456,72.985359,203.290939,6.682349,709.182007,348.893463,1307.397949,90.027649,5407.799805,1.539504
2010,9,8,2058.851563,177.655121,354.215515,72.939697,203.290939,6.874271,712.559326,346.522003,1312.491821,91.976288,5429.700195,1.534872
2010,9,9,2059.778076,178.455383,353.030914,72.779961,206.114441,6.673625,717.624939,352.154175,1327.489624,90.937012,5494.200195,1.547389
2010,9,10,2087.262451,180.20134,353.030914,73.145111,207.808533,7.005124,717.906311,355.414795,1339.658325,91.716454,5501.600098,1.542591
2010,9,13,2081.08667,182.456604,353.030914,73.122314,207.620255,7.013849,721.846375,366.382538,1343.054321,93.210419,5565.5,1.53709
2010,9,14,2090.659424,185.51207,352.438568,73.008179,207.432037,6.747776,721.56488,368.161133,1332.866455,93.535217,5567.399902,1.542805
2010,9,15,2067.807617,188.276581,346.515228,73.510262,208.561447,6.673625,722.408997,372.014587,1334.847168,93.795013,5555.600098,1.553398
2010,9,16,2070.277588,189.513351,343.257385,72.96257,208.937897,6.630007,716.499146,369.643158,1330.603027,90.937012,5540.100098,1.563404
2010,9,17,2054.528564,194.023849,338.222595,73.167915,206.679092,6.333401,717.062378,362.825348,1335.130737,90.222496,5508.5,1.562817
2010,9,20,2065.95459,194.169312,345.626801,74.856796,209.879028,7.1796,726.067688,371.125397,1360.316528,92.301079,5602.5,1.564602
2010,9,21,2068.116455,195.406097,342.072784,74.423149,209.690811,7.410777,721.56488,366.975403,1357.486694,91.65152,5576.200195,1.554823
2010,9,22,2068.424805,195.551559,339.70343,74.080811,209.690811,7.240664,715.936523,363.418213,1353.241455,90.222496,5551.899902,1.561695
2010,9,23,2045.264038,193.00531,339.407196,73.852608,208.937897,7.022573,708.619568,361.046814,1354.373779,90.352409,5547.100098,1.564602
2010,9,24,2059.1604,195.115112,338.222595,73.464638,210.631958,6.996401,711.715393,364.900421,1375.597778,92.950615,5598.5,1.56789
2010,9,27,2025.808594,195.988083,338.814911,72.597359,212.137817,7.197047,716.217896,364.900421,1355.505615,91.391693,5573.399902,1.583105
2010,9,28,2038.161011,191.041092,338.518738,72.30069,211.008438,7.197047,711.996521,377.943115,1347.865112,91.261772,5578.399902,1.581003
2010,9,29,1999.559692,193.805588,338.814911,72.346359,210.820221,7.284284,704.116638,375.868103,1347.299194,91.716454,5569.299805,1.580303
2010,9,30,1997.089478,194.605835,339.407196,71.707306,208.937897,7.109808,706.086792,377.350281,1343.902954,90.937012,5548.600098,1.579579
2010,10,1,1989.986572,193.951111,340.591888,72.506073,212.326035,7.25375,704.96106,383.575195,1335.979492,92.75576,5592.899902,1.57166
2010,10,4,1983.810181,193.514587,342.368927,72.574562,210.820221,7.188323,702.991028,376.757446,1327.206787,94.704391,5556,1.582003
2010,10,5,2002.647461,197.588593,345.626801,73.487457,213.83194,7.297369,714.529114,377.646729,1339.941284,96.45816,5635.799805,1.582429
2010,10,6,1998.633667,199.923615,345.626801,73.898285,215.337753,7.319179,716.499146,381.203827,1341.356201,98.211967,5681.399902,1.589143
2010,10,7,2025.19104,195.475967,347.107635,73.761314,214.396652,7.406414,729.726135,381.203827,1340.224365,98.601692,5662.100098,1.586496
2010,10,8,2021.7948,194.734665,347.699829,73.578735,214.773117,7.319179,733.66626,377.350281,1343.902954,96.782959,5657.600098,1.588007
2010,10,11,2034.764038,195.846603,347.699829,74.194946,215.902481,7.397693,730.851746,372.607513,1351.826782,95.4189,5672.399902,1.594871
2010,10,12,2050.82251,195.40181,347.403717,73.98954,214.584839,7.284284,735.07312,366.678986,1364.560913,92.820702,5661.600098,1.589295
2010,10,13,2062.865723,195.624176,348.292236,74.811104,218.161224,7.284284,742.108826,369.346863,1377.578125,93.210419,5747.399902,1.581103
